id	classId	choicePrereqId	name	lvlReq	spellId	featId	description
44	9	194	Unholy Aura spell	17	4891	NULL	Your bloodline has granted the Unholy Aura spell
45	9	194	Summon Monster IX spell	19	4975	NULL	Your bloodline has granted the Summon Monster IX spell
46	9	194	Claws (su)	1	NULL	NULL	You can grow claws as a free action, which are treated as natural weapons, allowing you to make two claw attacks as a full attack action using your full attack bonus. These deal 1d4 points of damage each (1d3 if you are small) plus your Strength modifier. At 5th level these become magic weapons, at 7th level damage increases to 1d6 (1d4 if small), at 11th level they become flaming weapons and deal an additional 1d6 points of fire damage on a successful hit. You may use your claws for a number of rounds equal to 3+ your Charisma modifier, and don't need to be consecutive.
47	9	194	Demon Resistances (ex)	3	NULL	NULL	You gain resist electricity 5 and a +2 bonus on saving throws made against poison. At 9th level your resistance to electricity increases to 10 and bonus to poison saving throws increases to +4.
48	9	194	Strength of the Abyss (ex)	9	NULL	NULL	You gain a +2 inherent bonus to Strength. Increses to +4 at 13th level, and +6 at 17th level.
49	9	194	Added Summonings (ex)	15	NULL	NULL	Whenever you summon a creature with the demon subtype or fiendish template using a summon monster spell you summon one additional creature of the same kind.
50	9	194	Demonic Might (su)	20	NULL	NULL	You gain immunity to electricity and poison, resistance to acid 10, cold 10, and fire 10, and gain telepathy with range 60 feet (allowing you to communicate with any creature that can speak a language).
51	9	195	Identify spell	3	242	NULL	Your bloodline has granted the Identify spell
52	9	195	Invisibility spell	5	759	NULL	Your bloodline has granted the Invisibility spell
53	9	195	Dispel Magic spell	7	1181	NULL	Your bloodline has granted the Dispel Magic spell
54	9	195	Dimension Door spell	9	1702	NULL	Your bloodline has granted the Dimension Door spell
55	9	195	Overland Flight spell	11	2237	NULL	Your bloodline has granted the Overland Flight spell
56	9	195	True Seeing spell	13	2599	NULL	Your bloodline has granted the True Seeing spell
57	9	195	Greater Teleport spell	15	2688	NULL	Your bloodline has granted the Greater Teleport spell
58	9	195	Power Word Stun spell	17	4850	NULL	Your bloodline has granted the Power Word Stun spell
59	9	195	Wish spell	19	4993	NULL	Your bloodline has granted the Wish spell
60	9	195	Arcane Bond (su)	1	NULL	NULL	Gain an arcane bond as a wizard equal to your Sorcerer level. Any wizard levels you possess stack with your Sorcerer levels when determining the powers of your familiar or bonded object, but this does not allow you to have both a familiar and bonded item.
61	9	195	Metamagic Adept (ex)	3	NULL	NULL	You may apply any one metamagic feat you know to a spell you are about to cast without increasing the casting time. You must still expend a higher-level spell slot to cast this spell. You can use this ability once per day at 3rd level, and one additional time for every four Sorcerer levels beyond 3rd.
62	9	195	New Arcana (ex)	9	NULL	NULL	You can add any one spell from the Sorcerer/wizard spell list to your list of spells known. Gain another spell at 13th and 17th level
63	9	195	School Power (ex)	15	NULL	NULL	Pick one school of magic. The DC for any spells you cast from that school increases by +2, stacking with the bonus granted by the Spell Focus feat
64	9	195	Arcane Apotheosis (ex)	20	NULL	NULL	You can add any metamagic feats that you nkow to your spells without increasing their casting tiimie, but you still expend higher-level spell slots. Whenever you use magic items that require charges, you can instead expend spell slots to power the item - for every three levels of spell slots that you expend, you consume one less charge.
65	9	196	Class Skill: Heal	1	NULL	NULL	Gain Heal as a class skill
66	9	196	Bless spell	3	86	NULL	Your bloodline has granted the Bless spell
67	9	196	Resist Energy spell	5	868	NULL	Your bloodline has granted the Resist Energy spell
68	9	196	Magic Circle Against Evil spell	7	1333	NULL	Your bloodline has granted the Magic Circle Against Evil spell
69	9	196	Remove Curse spell	9	1901	NULL	Your bloodline has granted the Remove Curse spell
70	9	196	Flame Strike spell	11	2139	NULL	Your bloodline has granted the Flame Strike spell
71	9	196	Greater Dispel Magic spell	13	2465	NULL	Your bloodline has granted the Greater Dispel Magic spell
72	9	196	Banishment spell	15	2632	NULL	Your bloodline has granted the Banishment spell
73	9	196	Sunburst spell	17	4876	NULL	Your bloodline has granted the Sunburst spell
74	9	196	Gate spell	19	4919	NULL	Your bloodline has granted the Gate spell
75	9	196	Heavenly Fire (sp)	1	NULL	NULL	You can unleash a ray of heavenly fire as a standard action, targeting an enemy within 30 feet as a ranged touch attack. Against evil creatures this deals 1d4 points of damage +1 for every two Sorcerer levels you possess. This damage is divine and not subject to energy resistance or immuninity. This ray heals good creatures for 1d4 points of damage +1 for every two Sorcerer levels you possess. A good creature cannot benefit from your heavenly fire more than once per day. Neutral creatures are neither healed nor harmed. You can use this ability a number of times equal to 3 + your Charisma modifier
76	9	196	Celestial Resistances (ex)	3	NULL	NULL	You gain resist acid 5 and resist cold 5. At 9th level these increase to 10.
77	9	196	Wings of Heaven (su)	9	NULL	NULL	You can sprout heavenly wings and fly for a number of minutes per day equal to your Sorcerer level, with a speed of 60 feet and good maneuverability. Duration does not need to be consecutive, but must be used in 1 minute increments.
78	9	196	Conviction (su)	15	NULL	NULL	Once per day you can reroll any ability check, attack roll, skill check, or saving throw you just made. You must decide to use this ability after the die is rolled, but before the results are revealed by the GM, and you must take the second result.
79	9	196	Ascension (su)	20	NULL	NULL	You gain immunity to acid, cold, and petrification. You also gain resist electricity 10, resist fire 10, and a +4 racial bonus on saves against poison. You also gain unlimited use of the Wings of Heaven ability, and the ability to speak with any creature that has a language (as per the Tongues spell).
80	9	197	Class Skill: Knowledge (History)	1	NULL	NULL	Gain Knowledge (History) as a class skill
81	9	197	Alarm spell	3	60	NULL	Your bloodline has granted the Alarm spell
82	9	197	Blur spell	5	92	NULL	Your bloodline has granted the Blur spell
83	9	197	Protection From Energy spell	7	1397	NULL	Your bloodline has granted the Protection From Energy spell
84	9	197	Freedom of Movement spell	9	341	NULL	Your bloodline has granted the Freedom of Movement spell
85	9	197	Break Enchantment spell	11	2047	NULL	Your bloodline has granted the Break Enchantment spell
86	9	197	Mislead spell	13	2521	NULL	Your bloodline has granted the Mislead spell
87	9	197	Spell Turning spell	15	2762	NULL	Your bloodline has granted the Spell Turning spell
88	9	197	Moment of Prescience spell	17	4844	NULL	Your bloodline has granted the Moment of Prescience spell
89	9	197	Foresight spell	19	4917	NULL	Your bloodline has granted the Foresight spell
90	9	197	Touch of Destiny (sp)	1	NULL	NULL	You can touch a creature as a standard action, giving it an insight bonus on attack rolls, skill checks, ability checks, and saving throws equal to 1/2 your Sorcerer level (minimum 1) for 1 round. You can use this ability a number of times per day equal to 3 + your Charisma modifier
91	9	197	Fated (su)	3	NULL	NULL	You gain a +1 luck bonus on all of your saving throws and to your AC during surprise rounds and when you are otherwise unaware of the attack. At 7th level and ever four levels thereafter this bonus increases by +1.
92	9	197	It Was Meant To Be (su)	9	NULL	NULL	You may reroll any one attack roll, critical hiit confirmation roll, or level check made to overcome spell resistance. You must decide to use this ability after the first roll is made but before the results are revealed by the GM, and you must take the second result. You may use this ability once per day, increasing to twice per day at 17th level.
93	9	197	Within Reach (su)	15	NULL	NULL	Once per day when an attack or spell that causes damage would result in your death, you may attempt a DC 20 Will save. If successful you are instead reduced to -1 hit points and are automatically stabilized. The bonus from your Fated ability applies to this save.
94	9	197	Destiny Realized (su)	20	NULL	NULL	Any critical threats made against you only confirm if the second roll results in a natural 20. Any critical threats you score with a spell are automatically confirmed. Once per day you can automatically succeed at one caster level check made to overcome spell resistance. You must use this abililty before making the roll.
95	9	198	Class Skill: Perception	1	NULL	NULL	Gain Perception as a class skill
96	9	198	Mage Armor spell	3	290	NULL	Your bloodline has granted the Mage Armor spell
97	9	198	Resist Energy spell	5	868	NULL	Your bloodline has granted the Resist Energy spell
98	9	198	Fly spell	7	1235	NULL	Your bloodline has granted the Fly spell
99	9	198	Fear spell	9	1726	NULL	Your bloodline has granted the Fear spell
100	9	198	Spell Resistance spell	11	2305	NULL	Your bloodline has granted the Spell Resistance spell
101	9	198	Form of the Dragon I spell	13	2451	NULL	Your bloodline has granted the Form of the Dragon I spell
102	9	198	Form of the Dragon II spell	15	2669	NULL	Your bloodline has granted the Form of the Dragon II spell
103	9	198	Form of the Dragon III spell	17	4807	NULL	Your bloodline has granted the Form of the Dragon III spell
104	9	198	Wish spell	19	4993	NULL	Your bloodline has granted the Wish spell
105	9	198	Claws (su)	1	NULL	NULL	You can grow claws as a free action, which are treated as natural weapons, allowing you to make two claw attacks as a full attack action using your full attack bonus. These deal 1d4 points of damage each (1d3 if you are small) plus your Strength modifier. At 5th level these become magic weapons, at 7th level damage increases to 1d6 (1d4 if small), at 11th level deal an additional 1d6 points of damage of your energy type on a successful hit. You may use your claws for a number of rounds equal to 3+ your Charisma modifier, and don't need to be consecutive.
106	9	198	Dragon Resistances (ex)	3	NULL	NULL	You gain resist 5 against your energy type and aa +1 natural armor bonus. At 9th level this increases to resist 10 and +2 armor bonus, and at 15th level the natural armor bonus increases to +4
107	9	198	Breath Weapon (su)	9	NULL	NULL	You gain a breath weapon which deals 1d6 points of damage of your energy type per Sorcerer level. Those caught in the area of teh breath receive a Reflex save for half damage. The DC of this save is equal to 10 + 1/2 your Sorcerer level + your Charisma modifier. The shape of the breat weapon depends on your dragon type (chart on page 75). You may use this ability once per day, increasing to twice per day at 17th level, and three times per day at 20th level.
108	9	198	Wings (su)	15	NULL	NULL	Leathery dragon wings grow from your back as a standard action, giving you a fly speed of 60 feet with average maneuverability. You can dismiss the wings as a free action.
109	9	198	Power of Wyrms (su)	20	NULL	NULL	You gain immunity to paralysis, sleep, and damage of your energy type. You also gain blindsense 60 feet.
110	9	199	Class Skill: Knowledge (Planes)	1	NULL	NULL	Gain Knowledge (Planes) as a class skill
111	9	199	Burning Hands spell	3	103	NULL	Your bloodline has granted the Burning Hands spell (always deals damage of the type determined by your element)
112	9	199	Scorching Ray spell	5	892	NULL	Your bloodline has granted the Scorching Ray spell (always deals damage of the type determined by your element)
113	9	199	Protection From Energy spell	7	1397	NULL	Your bloodline has granted the Protection From Energy spell
114	9	199	Elemental Body I spell	9	1715	NULL	Your bloodline has granted the Elemental Body I spell
115	9	199	Elemental Body II spell	11	2116	NULL	Your bloodline has granted the Elemental Body II spell
116	9	199	Elemental Body III spell	13	2433	NULL	Your bloodline has granted the Elemental Body III spell
117	9	199	Elemental Body IV spell	15	2655	NULL	Your bloodline has granted the Elemental Body IV spell
118	9	199	Summon Monster VIII spell	17	4874	NULL	Your bloodline has granted the Summon Monster VIII spell (may summon elementals only)
119	9	199	Elemental Swarm spell	19	4912	NULL	Your bloodline has granted the Elemental Swarm spell
120	9	199	Elemental Ray (sp)	1	NULL	NULL	You can unleash an elemental ray as a standard action targeting any foe within 30 feet as a ranged touch attack. This ray deals 1d6 points of damage of your energy type + 1 for every two Sorcerer levels you possess. You can use this ability a number of times per day equal to 3 + your Charisma modifier.
121	9	199	Elemental Resistance (ex)	3	NULL	NULL	You gain energy resist 10 against your energy type. Increases to resist 20 at 9th level
122	9	199	Elemental Blast (sp)	9	NULL	NULL	Once per day you can unleash a blast of elemental power. This 20-foot-radius burst does 1d6 points of damage of your energy type per Sorcerer level. Those caught in the area receive a Reflex save for half damage. Creatures that fail their saves gain vulnerability to your energy type until the end of your next turn. The DC of this save is equal to 10 + 1/2 your Sorcerer level + your Charisma modifier. At 17th level you can use this ability twice per day, and three times per day at 20th level. 
123	9	199	Elemental Movement (su)	15	NULL	NULL	You gain a special movement type or bonus based on your chosen element (chart on page 76)
124	9	199	Elemental Body (su)	20	NULL	NULL	You gain immunity to sneak attacks, critical hits, and damage from your energy type
125	9	200	Class Skill: Knowledge (Nature)	1	NULL	NULL	Gain Knowledge (Nature) as a class skill
126	9	200	Entangle spell	3	184	NULL	Your bloodline has granted the Entangle spell
127	9	200	Hideous Laughter spell	5	732	NULL	Your bloodline has granted the Hideous Laughter spell
128	9	200	Deep Slumber spell	7	1167	NULL	Your bloodline has granted the Deep Slumber spell
129	9	200	Poison spell	9	1885	NULL	Your bloodline has granted the Poison spell
130	9	200	Tree Stride spell	11	2348	NULL	Your bloodline has granted the Tree Stride spell
131	9	200	Mislead spell	13	2521	NULL	Your bloodline has granted the Mislead spell
132	9	200	Phase Door spell	15	2732	NULL	Your bloodline has granted the Phase Door spell
133	9	200	Irresistible Dance spell	17	4833	NULL	Your bloodline has granted the Irresistible Dance spell
134	9	200	Shapechange spell	19	4966	NULL	Your bloodline has granted the Shapechange spell
135	9	200	Laughing Touch (sp)	1	NULL	NULL	You can cause a creature to burst out laughing for 1 round as a melee touch attaack. A laughing creature can only take a move action but can defend itself normally. Once a creature has been affected by laughing touch it is immune to its effects for 24 hours. You can use this ability a number of times equal to 3 + your Charisma modifier. This is a mind-affecting effect.
136	9	200	Woodland Stride (ex)	3	NULL	NULL	You can move through any sort of undergrowth (natural thorns, briars, overgrown areas, etc.) at your normal speed and without taking damage or suffering any other impairment. Thorns, briars, and overgrown areas that have been maggically manipulated to impede motion still affect you.
137	9	200	Fleeting Glance (sp)	9	NULL	NULL	You can turn invisible for a number of rounds per day equal to your Sorcerer level. This functions as the spell Greater Invisibility. These rounds need not be consecutive.
138	9	200	Fey Magic (su)	15	NULL	NULL	You may reroll any caster level check made to overcome spell resistance. You must decide to use this ability before the results are revealed by the GM, and you must take the second result.
139	9	200	Soul of the Fey (su)	20	NULL	NULL	You gain immunity to poison and DR 10/cold iron. Creatures of the animal type do not attack you unless compelled to do so through magic. Once per day, you can cast Shadow Walk aas a spell-like ability using your Sorcerer level as your caster level.
140	9	201	Class Skill: Diplomacy	1	NULL	NULL	Gain Diplomacy as a class skill
141	9	201	Protection From Good spell	3	342	NULL	Your bloodline has granted the Protection From Good spell
142	9	201	Scorching Ray spell	5	892	NULL	Your bloodline has granted the Scorching Ray spell
143	9	201	Suggestion spell	7	1507	NULL	Your bloodline has granted the Suggestion spell
144	9	201	Charm Monster spell	9	1652	NULL	Your bloodline has granted the Charm Monster spell
145	9	201	Dominate Person spell	11	2109	NULL	Your bloodline has granted the Dominate Person spell
146	9	201	Planar Binding spell	13	2537	NULL	Your bloodline has granted the Planar Binding spell (devils and creatures with fiendish template only)
147	9	201	Greater Teleport spell	15	2688	NULL	Your bloodline has granted the Greater Teleport spell
148	9	201	Power Word Stun spell	17	4850	NULL	Your bloodline has granted the Power Word Stun spell
149	9	201	Meteor Swarm spell	19	4946	NULL	Your bloodline has granted the Meteor Swarm spell
150	9	201	Corrupting Touch (sp)	1	NULL	NULL	You can cause a creature to become shaken for a number of rounds equal to 1/2 your Sorcerer level (minimum 1) as a melee touch attack. Creatures shaken by this ability radiate an aura of evil, as if they were an evil outsider. Multiple touches do not stack, but they do add to the duration. You can use this ability a number of times equal to 3 + your Charisma modifier.
151	9	201	Infernal Resistances (ex)	3	NULL	NULL	You gain resist fire 5 and +2 bonus on saving throws made against poison. At 9th level this increases to resist fire 10 and a +4 bonus on saving throws against poison.
152	9	201	Hellfire (sp)	9	NULL	NULL	You can call down a 10-foot-radius column of hellfire which deals 1d6 points of fire damage per Sorcerer level. Those caught in the area receive a Reflex save for half damage. Good creatures that fail their saves are shaken for a number of rounds equal to your Sorcerer level. The DC of this save is equal to 10 + 1/2 your Sorcerer level + your Charisma modifier. You may use this ability once per day at 9th level, twice per day at 17th level, and three times per day at 20th level.
153	9	201	On Dark Wings (su)	15	NULL	NULL	You can grow fearsom bat wings as a standard action, giving you a fly speed of 60 feet with average maneuverability. The wings can be dismissed as a free action.
154	9	201	Power of the Pit (su)	20	NULL	NULL	You gain immunity to fire and poison and resist acid 10 and resist cold 10, and the ability to see perfectly in darkness of any kind to a range of 60 feet.
155	9	202	Class Skill: Knowledge (Religion)	1	NULL	NULL	Gain Knowledge (Religion) as a class skill
156	9	202	Chill Touch spell	3	121	NULL	Your bloodline has granted the Chill Touch spell
157	9	202	False Life spell	5	666	NULL	Your bloodline has granted the False Life spell
158	9	202	Vampiric Touch spell	7	1556	NULL	Your bloodline has granted the Vampiric Touch spell
159	9	202	Animate Dead spell	9	1593	NULL	Your bloodline has granted the Animate Dead spell
160	9	202	Waves of Fatigue spell	11	2370	NULL	Your bloodline has granted the Waves of Fatigue spell
161	9	202	Undeath to Death spell	13	2603	NULL	Your bloodline has granted the Undeath to Death spell
162	9	202	Finger of Death spell	15	2665	NULL	Your bloodline has granted the Finger of Death spell
163	9	202	Horrid Wilting spell	17	4830	NULL	Your bloodline has granted the Horrid Wilting spell
164	9	202	Energy Drain spell	19	4913	NULL	Your bloodline has granted the Energy Drain spell
165	9	202	Grave Touch (sp)	1	NULL	NULL	You can cause a creature to become shaken for a number of rounds equal to 1/2 your Sorcerer level (minimum 1) as a melee touch attack. If you touch a shaken creature with this, it becomes frightened for 1 round if it has fewer Hit Dice than your Sorcerer level. You can use this ability a number of times per day equal to 3 + your Charisma modifier.
166	9	202	Death's Gift (su)	3	NULL	NULL	You gain resist cold 5 and DR 5/- against nonlethal damage. At 9th level this increases to resist cold 10 and DR 10/- against nonlethal damage.
167	9	202	Grasp of the Dead (sp)	9	NULL	NULL	You can cause a swarm of skeletal arms to brust from the ground to rip and tear at your foes. The skeletal arms erupt from the ground in a 20-foot-radius burst. Anyone in this area takes 1d6 points of slashing damage per Sorcerer level. Those caught in the area receive a Reflex save for half damage. Those who fail the save are unable to move for 1 round. The DC for this save is equal to 10 + 1/2 your Sorcerer level + your Charisma modifier. The skeletal arms disappear after 1 round. The arms must burst up from a solid surface. You can use this ability once per day at 9th level, twice per day at 17th level, and three times per day at 20th level. This power has a range of 60 feet.
168	9	202	Incorporeal Form (sp)	15	NULL	NULL	Once per day you can become incorporeal for 1 round per Sorcerer level. While in this form, you gain the incorporeal subtype. You only take half damage from corporeal sources as long as they are magic (you take no damage from non-magic weapons and objects). Likewise, your spells deal only half damage to corporeal creatures. Spells and other effects that do not deal damage function normally.
169	9	202	One of Us (ex)	20	NULL	NULL	Your form begins to rot (the appearance is up to you) and undead see you as one of them. You gain immunity to cold, nonlethal damage, paralysis, and sleep. You also gain DR 5/-. Unintelligent undead do not notice you unless you attack them. You receive a +4 morale bonus on saving throws made against spells and spell-like abilities cast by undead.
170	10	NULL	Scribe Scroll	1	NULL	131	Gain Scribe Scroll as a bonus feat
171	10	342	Resistance (ex)	1	NULL	NULL	You gain resistance 5 to an energy type of your choice, chosen when you prepare your spells each day. Increases to resistance 10 at 11th level, and becomes immunity at 20th level.
172	10	342	Protective Ward (sp)	1	NULL	NULL	As a standard action create a 10-foot-radius field of protective magic centered on you that lasts for a number of rounds equal to your Intelligence modifier. All allies in this area (including you) receive a +1 deflection bonus to their AC, increasing by +1 for every five wizard levels you possess. You may use thiss ability a number of times per day equal to 3 + your Intelligence modifier.
173	10	342	Energy Absorption (su)	6	NULL	NULL	You have an amount of energy absorption equal to 3 times your wizard level per day. Whenever you take energy damage, apply immunity, vulnerability, and resistance first and apply the remainder to this absorption, reducing your daily total by that amount. Any damage in excess of your absorption is applied to you normally.
174	10	343	Summoner's Charm (su)	1	NULL	NULL	Whenever you case a Conjuration spell increase teh durration by a number of rounds equal to 1/2 your wizard level (minimum 1). This is not doubled by Extend Spell. At 20th level, you can change the duration of all summon monster spells to be permanent, but can have no more than one summon spell permanent at a time.
175	10	343	Acid Dart (sp)	1	NULL	NULL	As a standard action you can unleash an acid dart targeting any foe within 30 feet as a ranged touch attack. This deals 1d6 points of acid damage +1 for every two wizard levels you possess. You may use this ability a number of times per day equal to 3 + your Intelligence modifier. This attack ignores spell resistance.
176	10	343	Dimensional Steps (sp)	8	NULL	NULL	You may teleport up to 30 feet per wizard level per day as a standard action. This musts be used in 5-foot increments and does not provoke an attack of opportunity. You may bring other willing creatures with you, but must expend an equal amount of distance for each additional creature.
177	10	344	Forewarned (su)	1	NULL	NULL	You can always act in a surprise round even if you fail to make a Perception roll to notice a foe, but you are still considered flat-footed until you take an action. You also receive a bonus on initiative checks equal to 1/2 your wizard level (minimum +1). At 20th level you may assume a natural 20 on all initiative rolls.
178	10	344	Diviner's Fortune (sp)	1	NULL	NULL	You may touch any creature as a standard action to give it an insight bonus on all of its attack rolls, skill checks, and saving throws equal to 1/2 your Wizard level (minimum +1) for 1 round. You can use this ability a number of times per day equal to 3 + your Intelligence modifier.
179	10	344	Scrying Adept (sp)	8	NULL	NULL	You are always aware when you are being observed via magic. In addition, whenever you scry on a subject, treat the subject as one step more familiar to you. Very familiar subjects gget a -10 penalty on their save to avoid your scrying attempts.
